assembly_key	original_fasta	total_bp	gc_percent	n_contigs	contig_n50	longest_contig	n_bases
GCA_011868885.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868885.1.fna	5404347	50.301	171	127556	281251	0
GCA_011869025.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011869025.1.fna	5388731	50.3362	198	108309	249575	0
GCA_011871655.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011871655.1.fna	5403264	50.2826	152	159266	292474	0
GCA_011872075.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872075.1.fna	5452744	50.2433	156	236536	663539	0
GCA_011872125.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872125.1.fna	5378582	50.3378	183	111600	285566	0
GCA_011872165.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872165.1.fna	5438290	50.2904	205	101267	340892	0
GCA_011872205.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872205.1.fna	5402487	50.3063	186	148262	317081	0
GCA_011872245.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872245.1.fna	5362670	50.3368	188	116614	357997	0
GCA_011872305.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872305.1.fna	5397985	50.3125	177	132533	349139	0
GCA_011872355.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872355.1.fna	5435119	50.2832	199	109282	355236	0
GCA_011872515.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011872515.1.fna	5406853	50.3153	160	157712	314296	0
GCA_011873005.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873005.1.fna	5459238	50.3032	201	109527	391725	0
GCA_011873125.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873125.1.fna	5372012	50.3268	168	124146	353783	0
GCA_011873425.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873425.1.fna	5368952	50.2396	195	124148	401738	0
GCA_011873445.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873445.2.fna	5292388	50.2864	189	188037	611849	0
GCA_011873645.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873645.1.fna	5347686	50.2759	183	185629	557526	0
GCA_011873705.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873705.1.fna	5363107	50.2256	209	124147	401737	0
GCA_011873725.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873725.1.fna	5425778	50.3067	148	150959	400602	0
GCA_011873765.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873765.2.fna	5308588	50.2891	200	145813	611569	0
GCA_011873805.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873805.1.fna	5456735	50.2715	191	111799	294251	0
GCA_011873945.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873945.1.fna	5380271	50.288	162	149646	400801	0
GCA_011873965.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011873965.1.fna	5411576	50.2991	171	136271	317071	0
GCA_011874385.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874385.1.fna	5396808	50.3078	182	135378	268063	0
GCA_011874405.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874405.1.fna	5331457	50.2775	173	185772	613612	0
GCA_011874505.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874505.1.fna	5404290	50.3079	176	121797	267193	0
GCA_011874585.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874585.1.fna	5368345	50.3322	171	131296	314269	0
GCA_011874705.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874705.1.fna	5403277	50.3017	180	125517	284603	0
GCA_011874725.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874725.1.fna	5533517	50.3209	210	105558	590769	0
GCA_011874745.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874745.1.fna	5405209	50.2864	153	159266	292474	0
GCA_011874765.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874765.1.fna	5408543	50.3165	180	140148	310028	0
GCA_011874785.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874785.1.fna	5551458	50.2978	201	124151	614822	0
GCA_011874805.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874805.1.fna	5524994	50.2818	206	108557	395093	0
GCA_011874865.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874865.1.fna	5379093	50.3044	157	144817	292474	0
GCA_011874925.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011874925.1.fna	5527247	50.2875	184	124151	403002	0
GCA_011879465.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011879465.1.fna	5371132	50.3474	186	122632	409974	0
GCA_011880505.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011880505.1.fna	5364903	50.3286	177	132168	410612	0
GCA_011880545.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011880545.1.fna	5354216	50.3319	197	104220	239826	0
GCA_011880945.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011880945.2.fna	5479654	50.2294	167	147330	391659	0
GCA_011882625.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011882625.1.fna	5361345	50.366	212	106878	428128	0
GCA_011883085.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011883085.1.fna	5365253	50.3391	192	136063	394357	0
GCA_011883145.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011883145.1.fna	5364596	50.3396	202	124823	357957	0
GCA_011883745.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011883745.1.fna	5379495	50.2002	238	108435	361868	0
GCA_011883805.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011883805.2.fna	5380051	50.2481	152	188305	401614	0
GCA_011883865.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011883865.1.fna	5378022	50.2927	195	144775	400596	0
GCA_011884085.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011884085.1.fna	5386924	50.2557	220	138961	401737	0
GCA_011884105.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011884105.1.fna	5373613	50.2758	173	130203	374899	0
GCA_011884165.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011884165.2.fna	5460938	50.2603	207	116121	282438	0
GCA_011884625.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011884625.2.fna	5404667	50.2306	174	147330	674224	0
GCA_011885445.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011885445.2.fna	5377916	50.2233	202	147330	314301	0
GCA_011886285.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011886285.2.fna	5385981	50.2272	178	147330	614053	0
GCA_011886725.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011886725.2.fna	5396823	50.2175	182	168575	612188	0
GCA_011891505.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011891505.1.fna	5543285	50.0124	202	136965	401738	0
GCA_011892065.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011892065.1.fna	5344814	50.2377	232	121594	401736	0
GCA_011892145.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011892145.1.fna	5379512	50.2621	218	121127	401738	0
GCA_011919775.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011919775.1.fna	5361064	50.3446	219	101482	314279	0
GCA_011919865.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011919865.1.fna	5399802	50.2948	189	114015	614493	0
GCA_011921565.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011921565.2.fna	5391307	50.281	179	109976	244160	0
GCA_011922085.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011922085.1.fna	5412743	50.2377	184	155910	402998	0
GCA_011934265.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011934265.2.fna	5458186	50.2077	159	188305	673979	0
GCA_011936465.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011936465.1.fna	5322734	50.2872	183	124144	362292	0
GCA_011936485.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011936485.1.fna	5315157	50.284	180	124144	362282	0
GCA_011936805.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011936805.1.fna	5298703	50.2765	186	124144	361758	0
GCA_011937585.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011937585.1.fna	5562865	50.3271	194	142569	502540	0
GCA_011937695.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011937695.1.fna	5331404	50.2945	174	146548	362282	0
GCA_011937905.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011937905.1.fna	5399917	50.2092	163	160333	556841	0
GCA_011938425.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011938425.1.fna	5557275	50.327	192	142546	503020	0
GCA_011941465.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011941465.1.fna	5579075	50.3308	193	142569	503019	0
GCA_011965625.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011965625.1.fna	5377663	50.289	159	160449	400387	0
GCA_012007105.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012007105.1.fna	5327208	50.3338	151	142839	612736	0
GCA_012050925.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012050925.1.fna	5403487	50.2977	197	148116	374741	0
GCA_012196245.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012196245.1.fna	5363685	50.3815	190	110874	331439	0
GCA_012222645.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012222645.1.fna	5337514	50.2382	189	149646	374742	0
GCA_012225235.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012225235.1.fna	5390371	50.3459	193	113733	294123	0
GCA_012264245.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012264245.1.fna	5354126	50.3063	189	146538	374741	0
GCA_012264285.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012264285.1.fna	5367136	50.2953	200	145006	374741	0
GCA_012265225.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012265225.1.fna	5328986	50.3164	178	145480	376886	0
GCA_012265245.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_012265245.1.fna	5331571	50.3136	193	144811	374741	0
